8190           8190ZP63020           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180112MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180112MB1B                9I3    
8190           8190ZP66900           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66870           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66410           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP64810           SXA08190SX21000000016.000                    20180112MB1B                9I3    
