8190           8190ZP66810           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66810 8190 SXA0
8190           8190ZP66810           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66810 8190 SXA0
8190           8190ZP66810           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66810 8190 SXA0
8190           8190ZP67410           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP67410 8190 SXA0
8190           8190ZP66970           SXA08190SX21000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP66970 8190 SXA0
8190           8190ZP90570           FLA08190FL51000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP90570 8190 FLA0
8190           8190ZP63500           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63500 8190 FLA0
8190           8190ZQ95600           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ95600 8190 SX21
8190           8190WY9341C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WY9341C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190WY9341C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WY9341C 8190 SX21
8190           8190ZP62080           CLA08190CL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62080 8190 CLA0
8190           8190ZP62080           CLA08190CL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62080 8190 CLA0
8190           8190ZP62080           CLA08190CL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62080 8190 CLA0
8190           8190ZP62080           CLA08190CL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62080 8190 CLA0
8190           8190ZP62080           CLA08190CL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP62080 8190 CLA0
8190           8190ZG2964C           CL218190CL51000000180.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 180 PC : ZG2964C 8190 CL21
8190           8190ZQ96960           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZQ96960 8190 SX21
8190           8190ZQ98040           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ98040 8190 SX21
8190           8190ZQ98040           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ98040 8190 SX21
8190           8190ZQ98110           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98110 8190 SX21
8190           8190ZQ98110           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98110 8190 SX21
8190           8190ZQ98110           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98110 8190 SX21
8190           8190ZQ98200           SX218190SX51000000008.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ98200 8190 SX21
