8190           8190ZQ84650           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20180606MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180606MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180606MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180606MB1B                9I3    
