8190           8190ZQ86690           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171115MB1B                9I3    
