8190           8190ZQ90570           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZE20840           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20840           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20660           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20620           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20620           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20620           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20180811MB1B                9I3    
8190           8190ZP64080           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98800           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZR01650           SX218190SX51000000008.000                    20180811MB1B                9I3    
