8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20190108MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190108MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190108MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190108MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20190108MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20190108MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20190108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP68000           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP90590           SXA08190SX51000000016.000                    20190108MB1B                9I3    
8190           8190ZP90590           SXA08190SX51000000016.000                    20190108MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP90590           SXA08190SX51000000016.000                    20190108MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190108MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20190108MB1B                9I3    
8190           8190ZP65210           SXA08190SX21000000016.000                    20190108MB1B                9I3    
