8190           8190ZQ88890           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180521MB1B                9I3    
