8190           8190ZP63580           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180926MB1B                9I3    
