8190           8190ZU06560           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171218MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20171218MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20171218MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20171218MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20171218MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20171218MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20171218MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20171218MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20171218MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20171218MB1B                9I3    
