8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
