8190           8190ZQ97030           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20181212MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20181212MB1B                9I3    
