8190           8190ZE22640           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZG2966C           CL218190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2966C           CL218190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZP63040           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2425B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2522B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20190402MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190402MB1B                9I3    
