8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67970           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP65080           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP66730           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP66730           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20181004MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181004MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20181004MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20181004MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181004MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181004MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63840           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20181004MB1B                9I3    
