8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61490           CLA08190CL21000000020.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180216MB1B                9I3    
